image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f6f26831d0010e985e5,policy_sign,1173,460,12,17,0.9,0.345,0.301,0.044,Good
5f127f6f26831d0010e985e5,information_sign,893,316,95,54,1.96,0.305,0.27,0.034,Good
5f127f6f26831d0010e985e5,information_sign,690,294,114,100,1.19,0.466,0.388,0.079,Good
5f127f6f26831d0010e985e5,information_sign,748,428,11,7,1.02,0.134,0.203,0.069,Size Too Small
5f127f6f26831d0010e985e5,information_sign,728,425,11,9,0.82,0.434,0.351,0.084,Size Too Small
5f127f6f26831d0010e985e5,information_sign,659,435,34,13,0.18,0.2,0.208,0.008,Good
5f127f6f26831d0010e985e5,information_sign,651,440,44,41,1.73,0.517,0.351,0.166,Good
5f127f6f26831d0010e985e5,information_sign,612,436,37,15,1.49,0.175,0.181,0.006,Good
5f127f6f26831d0010e985e5,traffic_control_sign,874,446,15,14,0.32,0.556,0.436,0.12,Good
5f127f6f26831d0010e985e5,non_visible_face,574,429,29,22,1.97,0.389,0.359,0.029,Good
5f127f6f26831d0010e985e5,non_visible_face,381,408,9,11,1.13,0.241,0.335,0.093,Size Too Small
5f127f6f26831d0010e985e5,non_visible_face,429,415,9,9,1.54,0.436,0.374,0.062,Size Too Small
5f127f6f26831d0010e985e5,non_visible_face,452,411,21,13,1.14,0.287,0.342,0.056,Good
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f6c3a6b1000172320ad,non_visible_face,559,503,14,40,3.42,0.205,0.167,0.038,Good
5f127f6c3a6b1000172320ad,non_visible_face,1771,649,19,23,1.06,0.312,0.448,0.136,Good
5f127f6c3a6b1000172320ad,traffic_control_sign,546,581,29,28,3.1,0.551,0.594,0.043,Good
5f127f6c3a6b1000172320ad,traffic_control_sign,734,619,12,32,3.17,0.165,0.157,0.008,Good
5f127f6c3a6b1000172320ad,traffic_control_sign,718,664,13,16,1.07,0.272,0.237,0.036,Good
5f127f6c3a6b1000172320ad,traffic_control_sign,914,672,7,10,0.72,0.456,0.222,0.234,Size Too Small and Recheck
5f127f6c3a6b1000172320ad,traffic_control_sign,1151,542,16,39,2.52,0.171,0.171,0.001,Good
5f127f6c3a6b1000172320ad,traffic_control_sign,1328,654,11,29,2.18,0.176,0.169,0.006,Good
5f127f6c3a6b1000172320ad,traffic_control_sign,1742,647,19,24,0.7,0.644,0.416,0.228,Recheck
5f127f6c3a6b1000172320ad,information_sign,945,681,14,5,1.07,0.12,0.173,0.053,Size Too Small
5f127f6c3a6b1000172320ad,information_sign,1185,572,48,15,1.08,0.155,0.193,0.038,Good
5f127f6c3a6b1000172320ad,information_sign,1291,677,15,11,0.89,0.159,0.411,0.252,Recheck
5f127f6c3a6b1000172320ad,policy_sign,1318,685,33,12,1.43,0.144,0.182,0.038,Good
5f127f6c3a6b1000172320ad,policy_sign,1748,532,32,46,1.16,0.312,0.318,0.005,Good
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f699740b80017f9b170,policy_sign,1441,565,54,58,1.06,0.343,0.381,0.038,Good
5f127f699740b80017f9b170,policy_sign,1439,627,54,72,1.2,0.465,0.424,0.04,Good
5f127f699740b80017f9b170,policy_sign,1052,596,40,27,0.7,0.131,0.118,0.014,Good
5f127f699740b80017f9b170,traffic_control_sign,374,589,29,41,1.09,0.063,0.191,0.128,Good
5f127f699740b80017f9b170,traffic_control_sign,535,591,28,38,0.67,0.292,0.449,0.158,Good
5f127f699740b80017f9b170,traffic_control_sign,647,613,25,43,0.54,0.335,0.284,0.051,Good
5f127f699740b80017f9b170,traffic_control_sign,119,588,34,59,0.75,0.222,0.097,0.125,Good
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f671ab28b001762c204,information_sign,1854,436,66,109,2.22,0.253,0.266,0.012,Good
5f127f671ab28b001762c204,information_sign,1266,599,58,58,1.4,0.334,0.321,0.013,Good
5f127f671ab28b001762c204,information_sign,1112,736,32,11,0.53,0.174,0.217,0.043,Good
